Energy,Flux_VPG1,Flux_VPG2,Flux_VPG3
eV,phs/s,phs/s,phs/s
322.7,1.81E+12,7.28E+11,1.37E+11
402.8,3.14E+12,1.17E+12,2.21E+11
520.3,5.51E+12,2.02E+12,3.80E+11
590.9,6.70E+12,2.40E+12,4.36E+11
701.4,8.08E+12,2.86E+12,4.75E+11
751.7,8.37E+12,2.99E+12,4.46E+11
811.3,7.45E+12,2.67E+12,4.50E+11
846.3,7.79E+12,2.84E+12,4.38E+11
897.9,8.00E+12,2.89E+12,4.19E+11
940.2,7.52E+12,2.55E+12,3.94E+11
1084.5,6.24E+12,2.29E+12,2.96E+11
1198.6,4.86E+12,2.02E+12,2.09E+11
1297.5,3.40E+12,1.46E+12,1.37E+11
1396.6,1.92E+12,9.09E+11,7.36E+10
